,Unnamed: 0,Si No,FG Code,Description,For Paint,Painted,Model,Connector Type,Connector Size,Type
105,105,106,023Z5101,Filter drier DML 054S M/24 , 023Z0942 , 023Z0943 ,5,SOLDER,1/2,5 SOLDER
106,106,107,023Z5117,Filter drier DML 082.5S M/24 , 023Z0992 , 023Z0993 ,8,SOLDER,5/16,8 SOLDER
107,107,108,023Z5121,Filter drier DML 034S M/32 , 023Z0900 , 023Z0901 ,3,SOLDER,1/2,3 SOLDER
108,108,109,023Z5145,Filter drier DCL 085S M/24 , 023Z0996 , 023Z0997 ,8,SOLDER,5/8,8 SOLDER
109,109,110,023Z8023,Filter drier DCL 083S I/16 , 023Z1902 , 023Z1903 ,8,SOLDER,3/8,8 SOLDER
110,110,111,023Z8027,Filter drier DML 032S/3mm I/28 , 023Z0906 , 023Z0907 ,3,SOLDER,3MM,3 SOLDER
111,111,112,023Z5048,Filter drier DML 032S M/32 , 023Z0904 , 023Z0905 ,3,SOLDER,1/4,3 SOLDER
112,112,113,023Z5049,Filter drier DML 032.5S M/32 , 023Z0914 , 023Z0915 ,3,SOLDER,2018-05-16 00:00:00,3 SOLDER
113,113,114,023Z5050,Filter drier DML 033S M/32 , 023Z0910 , 023Z0911 ,3,SOLDER,3/8,3 SOLDER
114,114,115,023Z5051,Filter drier DML 033S/10mm M/32 , 023Z0918 , 023Z0919 ,3,SOLDER,10MM,3 SOLDER
115,115,116,023Z5053,Filter drier DML 052S M/24 , 023Z0946 , 023Z0947 ,5,SOLDER,1/4,5 SOLDER
116,116,117,023Z5054,Filter drier DML 053S M/24 , 023Z0950 , 023Z0951 ,5,SOLDER,3/8,5 SOLDER
117,117,118,023Z5055,Filter drier DML 053S/10mm M/24 , 023Z0956 , 023Z0957 ,5,SOLDER,10MM,5 SOLDER
118,118,119,023Z5057,Filter drier DML 082S M/24 , 023Z0986 , 023Z0987 ,8,SOLDER,1/4,8 SOLDER
119,119,120,023Z5058,Filter drier DML 083S M/24 , 023Z0990 , 023Z0991 ,8,SOLDER,3/8,8 SOLDER
120,120,121,023Z5059,Filter drier DML 083S/10mm M/24 , 023Z1200 , 023Z1201 ,8,SOLDER,10MM,8 SOLDER
121,121,122,023Z5060,Filter drier DML 084S/12mm M/24 , 023Z1202 , 023Z1203 ,8,SOLDER,12MM,8 SOLDER
122,122,123,023Z5061,Filter drier DML 084S M/24 , 023Z0982 , 023Z0983 ,8,SOLDER,1/2,8 SOLDER
123,123,124,023Z5063,Filter drier DML 162S M/12 , 023Z1240 , 023Z1241 ,16,SOLDER,1/4,16 SOLDER
124,124,125,023Z5064,Filter drier DML 163S M/12 , 023Z1248 , 023Z1249 ,16,SOLDER,3/8,16 SOLDER
125,125,126,023Z5065,Filter drier DML 163S/10mm M/12 , 023Z1260 , 023Z1261 ,16,SOLDER,10MM,16 SOLDER
126,126,127,023Z5066,Filter drier DML 164S/12mm M/12 , 023Z1264 , 023Z1265 ,16,SOLDER,12MM,16 SOLDER
127,127,128,023Z5067,Filter drier DML 164S M/12 , 023Z1238 , 023Z1239 ,16,SOLDER,1/2,16 SOLDER
128,128,129,023Z5068,Filter drier DML 165S M/12 , 023Z1252 , 023Z1253 ,16,SOLDER,5/8,16 SOLDER
129,129,130,023Z5069,Filter drier DML 167S M/12 , 023Z1256 , 023Z1257 ,16,SOLDER,7/8,16 SOLDER
130,130,131,023Z5070,Filter drier DCL 166S M/12 , 023Z1242 , 023Z1243 ,16,SOLDER,3/4,16 SOLDER
131,131,132,023Z5071,Filter drier DML 166S M/12 , 023Z1244 , 023Z1245 ,16,SOLDER,3/4,16 SOLDER
132,132,133,023Z5072,Filter drier DML 085S M/24 , 023Z0994 , 023Z0995 ,8,SOLDER,5/8,8 SOLDER
133,133,134,023Z5013,Filter drier DCL 032S M/32 , 023Z0902 , 023Z0903 ,3,SOLDER,1/4,3 SOLDER
134,134,135,023Z5014,Filter drier DCL 032.5S M/32 , 023Z0912 , 023Z0913 ,3,SOLDER,5/16,3 SOLDER
135,135,136,023Z5015,Filter drier DCL 033S M/32 , 023Z0908 , 023Z0909 ,3,SOLDER,3/8,3 SOLDER
136,136,137,023Z5016,Filter drier DCL 033S/10mm M/32 , 023Z0916 , 023Z0917 ,3,SOLDER,10MM,3 SOLDER
137,137,138,023Z5018,Filter drier DCL 052S M/24 , 023Z0944 , 023Z0945 ,5,SOLDER,1/4,5 SOLDER
138,138,139,023Z5019,Filter drier DCL 053S M/24 , 023Z0948 , 023Z0949 ,5,SOLDER,3/8,5 SOLDER
139,139,140,023Z5020,Filter drier DCL 053S/10mm M/24 , 023Z0954 , 023Z0955 ,5,SOLDER,10MM,5 SOLDER
140,140,141,023Z5022,Filter drier DCL 082S M/24 , 023Z0984 , 023Z0985 ,8,SOLDER,1/4,8 SOLDER
141,141,142,023Z5023,Filter drier DCL 083S M/24 , 023Z0988 , 023Z0989 ,8,SOLDER,3/8,8 SOLDER
142,142,143,023Z5024,Filter drier DCL 083S/10mm M/24 , 023Z1930 , 023Z1931 ,8,SOLDER,10MM,8 SOLDER
143,143,144,023Z5026,Filter drier DCL 084S M/24 , 023Z0980 , 023Z0981 ,8,SOLDER,1/2,8 SOLDER
144,144,145,023Z5028,Filter drier DCL 162S M/12 , 023Z1708 , 023Z1709 ,16,SOLDER,1/2,16 SOLDER
145,145,146,023Z5029,Filter drier DCL 163S M/12 , 023Z1246 , 023Z1247 ,16,SOLDER,3/8,16 SOLDER
146,146,147,023Z5030,Filter drier DCL 163S/10mm M/12 , 023Z1258 , 023Z1259 ,16,SOLDER,10MM,16 SOLDER
147,147,148,023Z5031,Filter drier DCL 164S/12mm M/12 , 023Z1262 , 023Z1263 ,16,SOLDER,12MM,16 SOLDER
148,148,149,023Z5032,Filter drier DCL 164S M/12 , 023Z1236 , 023Z1237 ,16,SOLDER,1/2,16 SOLDER
149,149,150,023Z5033,Filter drier DCL 165S M/12 , 023Z1250 , 023Z1251 ,16,SOLDER,5/8,16 SOLDER
150,150,151,023Z5034,Filter drier DCL 167S M/12 , 023Z1254 , 023Z1255 ,16,SOLDER,7/8,16 SOLDER
151,151,152,023Z3177,Filter drier DML 054S/3.8mm I/16 , 023Z1868 , 023Z1869 ,5,SOLDER,38MM,5 SOLDER
152,152,153,023Z5000,Filter drier DCL 032 M/32 , 023Z0920 , 023Z0921 ,3,FLARE,1/4,3 FLARE
153,153,154,023Z5001,Filter drier DCL 033 M/32 , 023Z0926 , 023Z0927 ,3,FLARE,3/8,3 FLARE
154,154,165,023Z5000,Filter drier DCL 032 M/32 , 023Z0920 , 023Z0921 ,3,FLARE,1/4,3 FLARE
155,155,166,023Z5001,Filter drier DCL 033 M/32 , 023Z0926 , 023Z0927 ,3,FLARE,3/8,3 FLARE
156,156,177,023Z5035,Filter drier DML 032 M/32 , 023Z0924 , 023Z0925 ,3,FLARE,1/4,3 FLARE
157,157,178,023Z5036,Filter drier DML 033 M/32 , 023Z0930 , 023Z0931 ,3,FLARE,3/8,3 FLARE
158,158,190,023Z5075,Filter drier DCL 032 M/32 , 023Z0922 , 023Z0923 ,3,FLARE,1/4,3 FLARE
159,159,191,023Z5089,Filter drier DCL 033 M/32 , 023Z1870 , 023Z1871 ,3,FLARE,10MM,3 FLARE
160,160,192,023Z5090,Filter drier DML 033 M/32 , 023Z0932 , 023Z0933 ,3,FLARE,3/8,3 FLARE
161,161,204,023Z8035,Filter drier DML 032 I/28 , 023Z1954 , 023Z1955 ,3,FLARE,1/4,3 FLARE
162,162,213,023Z8077,Filter drier DCL 032 M/32 , 023Z0928 , 023Z0929 ,3,FLARE,1/4,3 FLARE
163,163,155,023Z5002,Filter drier DCL 052 M/24 , 023Z0962 , 023Z0963 ,5,FLARE,1/4,5 FLARE
164,164,156,023Z5003,Filter drier DCL 053 M/24 , 023Z0966 , 023Z0967 ,5,FLARE,3/8,5 FLARE
165,165,167,023Z5002,Filter drier DCL 052 M/24 , 023Z0962 , 023Z0963 ,5,FLARE,1/4,5 FLARE
166,166,168,023Z5003,Filter drier DCL 053 M/24 , 023Z0966 , 023Z0967 ,5,FLARE,3/8,5 FLARE
167,167,179,023Z5037,Filter drier DML 052 M/24 , 023Z0964 , 023Z0965 ,5,FLARE,1/4,5 FLARE
168,168,180,023Z5038,Filter drier DML 053 M/24 , 023Z0968 , 023Z0969 ,5,FLARE,3/8,5 FLARE
169,169,194,023Z8002,Filter drier DCL 052 I/16 , 023Z1948 , 023Z1949 ,5,FLARE,1/4,5 FLARE
170,170,195,023Z8003,Filter drier DCL 053 I/16 , 023Z1590 , 023Z1591 ,5,FLARE,3/8,5 FLARE
171,171,205,023Z8037,Filter drier DML 052 I/16 , 023Z1862 , 023Z1863 ,5,FLARE,1/4,5 FLARE
172,172,206,023Z8038,Filter drier DML 053 I/16 , 023Z1866 , 023Z1867 ,5,FLARE,3/8,5 FLARE
173,173,214,023Z8098,Filter drier DCL 052 M/24 , 023Z1880 , 023Z1881 ,5,FLARE,1/4,5 FLARE
174,174,215,023Z8099,Filter drier DCL 053 M/24 , 023Z1886 , 023Z1887 ,5,FLARE,3/8,5 FLARE
175,175,157,023Z5004,Filter drier DCL 082 M/24 , 023Z1208 , 023Z1209 ,8,FLARE,1/4,8 FLARE
176,176,158,023Z5005,Filter drier DCL 083 M/24 , 023Z1212 , 023Z1213 ,8,FLARE,3/8,8 FLARE
177,177,159,023Z5006,Filter drier DCL 084 M/24 , 023Z1204 , 023Z1205 ,8,FLARE,1/2,8 FLARE
178,178,169,023Z5004,Filter drier DCL 082 M/24 , 023Z1208 , 023Z1209 ,8,FLARE,1/4,8 FLARE
179,179,170,023Z5005,Filter drier DCL 083 M/24 , 023Z1212 , 023Z1213 ,8,FLARE,3/8,8 FLARE
180,180,171,023Z5006,Filter drier DCL 084 M/24 , 023Z1204 , 023Z1205 ,8,FLARE,1/2,8 FLARE
181,181,181,023Z5039,Filter drier DML 082 M/24 , 023Z1210 , 023Z1211 ,8,FLARE,1/4,8 FLARE
182,182,182,023Z5040,Filter drier DML 083 M/24 , 023Z1214 , 023Z1215 ,8,FLARE,3/8,8 FLARE
183,183,183,023Z5041,Filter drier DML 084 M/24 , 023Z1206 , 023Z1207 ,8,FLARE,1/2,8 FLARE
184,184,189,023Z5073,Filter drier DML 085 M/24 , 023Z1216 , 023Z1217 ,8,FLARE,5/8,8 FLARE
185,185,193,023Z8001,Filter drier DCL 084 M/24 , 023Z1872 , 023Z1873 ,8,FLARE,1/2,8 FLARE
186,186,196,023Z8004,Filter drier DCL 082 I/16 , 023Z1928 , 023Z1929 ,8,FLARE,1/4,8 FLARE
187,187,197,023Z8005,Filter drier DCL 083 I/16 , 023Z1212 , 023Z1212 ,8,FLARE,3/8,8 FLARE
188,188,202,023Z8015,Filter drier DCL 082 M/24 , 023Z1876 , 023Z1877 ,8,FLARE,1/4,8 FLARE
189,189,203,023Z8016,Filter drier DCL 083 M/24 , 023Z1878 , 023Z1879 ,8,FLARE,3/8,8 FLARE
190,190,207,023Z8040,Filter drier DML 083 I/16 , 023Z1214 , 023Z1215 ,8,FLARE,3/8,8 FLARE
191,191,208,023Z8041,Filter drier DML 084 I/16 , 023Z1716 , 023Z1717 ,8,FLARE,1/2,8 FLARE
192,192,160,023Z5007,Filter drier DCL 162 M/12 , 023Z1270 , 023Z1271 ,16,FLARE,1/4,16 FLARE
193,193,161,023Z5008,Filter drier DCL 163 M/12 , 023Z1278 , 023Z1279 ,16,FLARE,3/8,16 FLARE
194,194,162,023Z5009,Filter drier DCL 164 M/12 , 023Z1266 , 023Z1267 ,16,FLARE,1/2,16 FLARE
195,195,163,023Z5010,Filter drier DCL 165 M/12 , 023Z1282 , 023Z1283 ,16,FLARE,5/8,16 FLARE
196,196,164,023Z5011,Filter drier DCL 166 M/12 , 023Z1274 , 023Z1275 ,16,FLARE,3/4,16 FLARE
197,197,172,023Z5007,Filter drier DCL 162 M/12 , 023Z1270 , 023Z1271 ,16,FLARE,1/4,16 FLARE
198,198,173,023Z5008,Filter drier DCL 163 M/12 , 023Z1278 , 023Z1279 ,16,FLARE,3/8,16 FLARE
199,199,174,023Z5009,Filter drier DCL 164 M/12 , 023Z1266 , 023Z1267 ,16,FLARE,1/2,16 FLARE
200,200,175,023Z5010,Filter drier DCL 165 M/12 , 023Z1282 , 023Z1283 ,16,FLARE,5/8,16 FLARE
201,201,176,023Z5011,Filter drier DCL 166 M/12 , 023Z1274 , 023Z1275 ,16,FLARE,3/4,16 FLARE
202,202,184,023Z5042,Filter drier DML 162 M/12 , 023Z1272 , 023Z1273 ,16,FLARE,1/4,16 FLARE
203,203,185,023Z5043,Filter drier DML 163 M/12 , 023Z1280 , 023Z1281 ,16,FLARE,3/8,16 FLARE
204,204,186,023Z5044,Filter drier DML 164 M/12 , 023Z1268 , 023Z1269 ,16,FLARE,1/2,16 FLARE
205,205,187,023Z5045,Filter drier DML 165 M/12 , 023Z1284 , 023Z1285 ,16,FLARE,5/8,16 FLARE
206,206,188,023Z5046,Filter drier DML 166 M/12 , 023Z1276 , 023Z1277 ,16,FLARE,3/4,16 FLARE
207,207,198,023Z8007,Filter drier DCL 162 I/12 , 023Z1950 , 023Z1951 ,16,FLARE,1/4,16 FLARE
208,208,199,023Z8008,Filter drier DCL 163 I/12 , 023Z1952 , 023Z1953 ,16,FLARE,1/4,16 FLARE
209,209,200,023Z8009,Filter drier DCL 164 I/12 , 023Z1266 , 023Z1267 ,16,FLARE,1/2,16 FLARE
210,210,201,023Z8010,Filter drier DCL 165 I/12 , 023Z1282 , 023Z1283 ,16,FLARE,5/8,16 FLARE
211,211,209,023Z8042,Filter drier DML 162 I/12 , 023Z1832 , 023Z1833 ,16,FLARE,1/4,16 FLARE
212,212,210,023Z8043,Filter drier DML 163 I/12 , 023Z1280 , 023Z1281 ,16,FLARE,3/8,16 FLARE
213,213,211,023Z8044,Filter drier DML 164 I/12 , 023Z1268 , 023Z1269 ,16,FLARE,1/2,16 FLARE
214,214,212,023Z8045,Filter drier DML 165 I/12 , 023Z1284 , 023Z1285 ,16,FLARE,5/8,16 FLARE
215,215,216,023Z8156,Filter drier DCL 165 M/12 , 023Z1882 , 023Z1883 ,16,FLARE,5/8,16 FLARE
216,216,217,023Z8157,Filter drier DCL 163 M/12 , 023Z1906 , 023Z1907 ,16,FLARE,3/8,16 FLARE
217,217,218,023Z8158,Filter drier DCL 164 M/12 , 023Z1890 , 023Z1891 ,16,FLARE,1/2,16 FLARE
